epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6686,1.7309,6.87651,2.14767,0.26546,0.24734,0.1689,0.05832,2.34341,11.1737,3.16253,0.00332789,0.00332789,0.070049
2,168.862,1.61583,5.96749,2.02522,0.57206,0.46782,0.44868,0.16315,2.20992,7.22576,2.92841,0.00659527,0.00659527,0.0399831
3,248.05,1.54099,5.51245,1.95367,0.69951,0.58182,0.63013,0.31064,1.81505,5.63245,2.42614,0.00979666,0.00979666,0.00985113
4,326.323,1.46942,5.11008,1.88357,0.70224,0.63068,0.68424,0.26182,2.10624,5.0098,2.9525,0.009703,0.009703,0.009703
5,404.399,1.4461,4.88892,1.86034,0.76561,0.65808,0.7425,0.37513,1.6492,4.77437,2.14766,0.009604,0.009604,0.009604
6,482.663,1.38621,4.5393,1.80519,0.81994,0.66312,0.76831,0.39844,1.67283,4.08309,2.1463,0.009505,0.009505,0.009505
7,562.327,1.36462,4.35482,1.78095,0.78109,0.6752,0.77466,0.35622,1.85432,4.07348,2.51453,0.009406,0.009406,0.009406
8,639.855,1.33153,4.15407,1.74896,0.86825,0.77199,0.86053,0.48603,1.55023,3.45071,2.01342,0.009307,0.009307,0.009307
9,718.211,1.31509,4.01688,1.73411,0.87059,0.80624,0.88049,0.50734,1.45548,3.1781,1.94778,0.009208,0.009208,0.009208
10,796.375,1.30313,3.92798,1.719,0.83482,0.81402,0.85326,0.48468,1.44237,3.07085,1.92165,0.009109,0.009109,0.009109
11,874.103,1.27552,3.76448,1.68889,0.86472,0.80417,0.88076,0.55002,1.33275,3.02141,1.76983,0.00901,0.00901,0.00901
12,953.711,1.25702,3.67695,1.67601,0.8686,0.8274,0.87006,0.47549,1.57305,2.9053,2.042,0.008911,0.008911,0.008911
13,1031.63,1.24288,3.57237,1.65785,0.8703,0.85854,0.90449,0.56603,1.26414,2.65068,1.7104,0.008812,0.008812,0.008812
14,1110.38,1.22831,3.48808,1.64846,0.89086,0.8372,0.91252,0.60034,1.20347,2.47823,1.64874,0.008713,0.008713,0.008713
15,1188.97,1.2162,3.41123,1.63875,0.92272,0.85832,0.92011,0.60499,1.19898,2.42331,1.63555,0.008614,0.008614,0.008614
16,1267.36,1.1989,3.33319,1.61873,0.88737,0.89082,0.91718,0.58903,1.26956,2.27619,1.69945,0.008515,0.008515,0.008515
17,1346.4,1.18589,3.25105,1.60994,0.91407,0.88334,0.93711,0.60871,1.1995,2.23319,1.64447,0.008416,0.008416,0.008416
18,1424.69,1.18192,3.15836,1.60336,0.93845,0.89251,0.94776,0.64376,1.12956,2.13643,1.56277,0.008317,0.008317,0.008317
19,1503.21,1.17043,3.13136,1.59485,0.89551,0.89742,0.92494,0.62536,1.12526,2.14387,1.5736,0.008218,0.008218,0.008218
20,1581.39,1.1597,3.12917,1.58447,0.91762,0.8844,0.9286,0.63946,1.1001,2.09748,1.55564,0.008119,0.008119,0.008119
21,1659.45,1.15081,3.03659,1.58075,0.93982,0.90536,0.94525,0.63009,1.18781,1.98197,1.60605,0.00802,0.00802,0.00802
22,1738.57,1.14681,2.99686,1.57536,0.94051,0.90581,0.95177,0.64167,1.11987,1.96094,1.53346,0.007921,0.007921,0.007921
23,1816.63,1.13573,2.95686,1.56098,0.93356,0.90159,0.94901,0.66465,1.09576,1.97108,1.51136,0.007822,0.007822,0.007822
24,1895.17,1.12285,2.88782,1.5475,0.91741,0.92892,0.95828,0.6562,1.07667,1.85024,1.51202,0.007723,0.007723,0.007723
25,1973.19,1.12667,2.87555,1.55027,0.93455,0.90845,0.95486,0.66312,1.06995,1.88917,1.47377,0.007624,0.007624,0.007624
26,2051.25,1.11843,2.83361,1.54836,0.94601,0.91828,0.95294,0.65059,1.11138,1.81507,1.50971,0.007525,0.007525,0.007525
27,2130.16,1.10064,2.78083,1.53358,0.94664,0.91344,0.95244,0.67137,1.07074,1.80115,1.4909,0.007426,0.007426,0.007426
28,2208.78,1.09818,2.74735,1.52757,0.95097,0.91376,0.95322,0.68049,1.03264,1.76413,1.44442,0.007327,0.007327,0.007327
29,2287.33,1.08162,2.72596,1.51655,0.94916,0.92619,0.95415,0.69128,1.01939,1.67606,1.45668,0.007228,0.007228,0.007228
30,2365.94,1.08337,2.70241,1.52035,0.94742,0.91291,0.94852,0.66798,1.05502,1.75458,1.48142,0.007129,0.007129,0.007129
31,2443.89,1.07992,2.66768,1.51805,0.93556,0.94423,0.95909,0.68372,1.01468,1.69216,1.43737,0.00703,0.00703,0.00703
32,2522.85,1.07808,2.63765,1.50728,0.92436,0.92941,0.95298,0.69121,1.0154,1.76024,1.43669,0.006931,0.006931,0.006931
33,2600.94,1.07334,2.61778,1.50475,0.91066,0.93228,0.94955,0.68487,1.02691,1.80894,1.45092,0.006832,0.006832,0.006832
34,2678.86,1.06287,2.60167,1.49541,0.9404,0.93583,0.96974,0.71339,0.98884,1.6352,1.42506,0.006733,0.006733,0.006733
35,2757.84,1.06306,2.56872,1.49642,0.94242,0.94337,0.96588,0.7086,0.99368,1.60004,1.43944,0.006634,0.006634,0.006634
36,2835.86,1.04982,2.5345,1.48824,0.94573,0.93545,0.95632,0.70073,0.9847,1.58281,1.41145,0.006535,0.006535,0.006535
37,2914.9,1.04581,2.52333,1.48114,0.95002,0.94197,0.96551,0.70248,0.98946,1.58999,1.41729,0.006436,0.006436,0.006436
38,2992.67,1.04446,2.49726,1.48516,0.9377,0.93851,0.96784,0.70668,1.00595,1.61264,1.40582,0.006337,0.006337,0.006337
39,3070.81,1.0372,2.48713,1.47967,0.93241,0.9358,0.95561,0.70238,0.99848,1.62833,1.41289,0.006238,0.006238,0.006238
40,3149.13,1.02792,2.45558,1.47105,0.95247,0.93792,0.96059,0.7188,0.9479,1.53764,1.37787,0.006139,0.006139,0.006139
41,3227.76,1.02285,2.42021,1.46462,0.95491,0.94471,0.96475,0.7174,0.96391,1.57538,1.3948,0.00604,0.00604,0.00604
42,3306.9,1.02486,2.4145,1.46624,0.94759,0.9379,0.96076,0.72055,0.93722,1.51178,1.35585,0.005941,0.005941,0.005941
43,3385.92,1.00989,2.39531,1.45578,0.95224,0.93671,0.96618,0.72437,0.93544,1.49476,1.357,0.005842,0.005842,0.005842
44,3465.24,1.00884,2.36957,1.45213,0.93612,0.95058,0.96926,0.72654,0.94403,1.49535,1.36775,0.005743,0.005743,0.005743
45,3544.12,1.0052,2.33983,1.44581,0.95269,0.92813,0.97072,0.72743,0.93593,1.49652,1.35406,0.005644,0.005644,0.005644
