epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.381,1.71221,6.49888,2.05647,0.17934,0.27321,0.08841,0.02699,2.59478,13.7177,3.95404,0.00332789,0.00332789,0.070049
2,1809.71,1.59697,5.63241,1.9367,0.36022,0.50361,0.43442,0.19594,1.94593,7.61791,2.46078,0.00659527,0.00659527,0.0399831
3,2713.55,1.48111,5.00578,1.8371,0.63381,0.56148,0.53913,0.32274,1.44551,5.48517,1.95911,0.00979666,0.00979666,0.00985113
4,3616,1.41676,4.52196,1.77117,0.5388,0.63694,0.60082,0.31229,1.57249,5.51354,2.08295,0.009703,0.009703,0.009703
5,4509.32,1.34684,4.11808,1.70691,0.77062,0.71645,0.79186,0.48347,1.352,3.83708,1.87657,0.009604,0.009604,0.009604
6,911.204,1.31257,3.93877,1.67074,0.68818,0.72973,0.7826,0.47462,1.46403,3.65086,1.96348,0.009505,0.009505,0.009505
7,1856.79,1.29158,3.77865,1.65574,0.80971,0.72616,0.78688,0.50738,1.25388,3.5867,1.76489,0.009406,0.009406,0.009406
8,2820.5,1.24567,3.55502,1.617,0.80958,0.80649,0.83809,0.55863,1.17836,3.20417,1.67009,0.009307,0.009307,0.009307
9,3767.5,1.22394,3.41089,1.59338,0.90418,0.82174,0.90332,0.61103,1.19883,2.80677,1.67163,0.009208,0.009208,0.009208
10,4707.44,1.18588,3.23412,1.56317,0.83801,0.80126,0.8806,0.62864,1.07617,2.85024,1.56123,0.009109,0.009109,0.009109
11,5650.2,1.17362,3.09869,1.55267,0.92197,0.86223,0.9205,0.64917,1.07004,2.27073,1.58695,0.00901,0.00901,0.00901
12,6616.02,1.16763,3.06862,1.54153,0.91193,0.82267,0.91191,0.64184,1.03242,2.44065,1.52343,0.008911,0.008911,0.008911
13,7558.41,1.13947,2.9244,1.52637,0.91128,0.86246,0.92205,0.65524,1.06235,2.22877,1.53238,0.008812,0.008812,0.008812
14,8503.84,1.1153,2.79617,1.50012,0.90957,0.86753,0.93154,0.67251,1.02179,2.31152,1.49416,0.008713,0.008713,0.008713
15,9446.09,1.11229,2.81474,1.50191,0.93672,0.87718,0.94238,0.69843,0.95815,2.0438,1.4384,0.008614,0.008614,0.008614
16,766.182,1.08318,2.67281,1.4736,0.9331,0.87474,0.93711,0.68594,0.96924,1.92448,1.45775,0.008515,0.008515,0.008515
17,1543.19,1.0759,2.60961,1.46693,0.92001,0.89484,0.95106,0.70871,0.95678,1.94092,1.44227,0.008416,0.008416,0.008416
18,2347.45,1.04612,2.54151,1.44853,0.91927,0.9107,0.94834,0.70453,0.90569,1.84439,1.39337,0.008317,0.008317,0.008317
19,3122.04,1.03928,2.47901,1.4413,0.91783,0.91317,0.94842,0.71937,0.93491,1.84963,1.41738,0.008218,0.008218,0.008218
20,3898.34,1.01356,2.39071,1.42206,0.91191,0.902,0.9531,0.71253,0.92035,1.80994,1.3923,0.008119,0.008119,0.008119
21,4671.38,1.01103,2.39672,1.42276,0.9185,0.9115,0.95295,0.73054,0.86917,1.67908,1.36826,0.00802,0.00802,0.00802
22,5452.61,1.01383,2.35924,1.41952,0.94668,0.91066,0.95692,0.73595,0.86461,1.67106,1.35108,0.007921,0.007921,0.007921
